top - 21:59:17 up 2 days,  6:55,  1 user,  load average: 0.84, 0.96, 0.91
Tasks: 451 total,   1 running, 450 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.8 us,  3.5 sy,  0.0 ni, 87.8 id,  2.9 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    546.0 free,   9661.9 used,   5548.0 buff/cache
MiB Swap:   2048.0 total,    734.8 free,   1313.2 used.   4094.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 212819 joel-wa+  20   0   13340   4352   3328 R  22.2   0.0   0:00.07 top
   3481 joel-wa+  20   0 6936704 413016 141400 S  11.1   2.6 132:05.65 gnome-shell
   4259 joel-wa+  20   0   12.2g 575228 231480 S  11.1   3.6  64:28.44 firefox
top - 22:00:45 up 2 days,  6:56,  1 user,  load average: 1.02, 1.02, 0.93
Tasks: 449 total,   1 running, 448 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.2 us,  2.9 sy,  0.0 ni, 80.1 id,  0.7 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    295.9 free,   9880.0 used,   5579.9 buff/cache
MiB Swap:   2048.0 total,    737.3 free,   1310.7 used.   3879.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3166 root      20   0 3987764 989292   4160 S 118.8   6.1  14:22.17 qemu-system-x86
   3481 joel-wa+  20   0 6936580 413348 141528 S   6.2   2.6 132:17.57 gnome-shell
   5677 joel-wa+  20   0  572140  65372  48916 S   6.2   0.4   5:13.03 gnome-terminal-
 117443 joel-wa+  20   0 2676412 257368 134616 S   6.2   1.6   1:12.68 Isolated Web Co
 213074 joel-wa+  20   0 1036932  27904  24832 S   6.2   0.2   0:00.12 multipass
 213164 joel-wa+  20   0   13340   4352   3328 R   6.2   0.0   0:00.01 top
      1 root      20   0  169080  13712   8308 S   0.0   0.1   0:22.86 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.12 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_g
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_p
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-slub_
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-netns
      9 root       0 -20       0      0      0 I   0.0   0.0   0:05.64 kworker/0:0H-events_highpri
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mm_pe
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_kthread
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
